high,low,vol,last,buy,sell,open,date,pair,fecha,Precio_Promedio,Volumen_Total,Variacion_Precio
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,5485031142981400,421480583401641,-13570387279148200
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,50795736196953600,4644992527437800,-1933340984134130
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,5480227761298010,9974753647020350,-27189933268724000
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,5497878671883030,9495575208678710,-15668856486686900
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,5234862618008170,31759148624310000,-4165916161163410
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,5359846699145430,9566954123673020,4613537306191250
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,5403838482683470,6295284821822340,-30770150744170600
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,501074535737209,8986067729029680,22671117789024000
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,49789985980270496,9917777001054770,-4762955172014550
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,5274960450467550,874922492033063,4419945958649480
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,4987303859794320,337886695933935,-2874259997594420
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,50162852549580304,9750504847870730,-5205888085781340
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,4924078255310120,3608908179787320,-4733469823648410
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,5466127359853720,4164770507120160,-5304324756422680
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,51387953190501504,553451289400852,-6577702194169020
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,49731700142937904,8362311431355480,4453448934090810
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,54521132825591,5945033989194460,-3265341938881460
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,50079070824887200,6419637938345580,-6352914612778340
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,51271765656049904,9913415646560490,-4966123777484540
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,2025-03-06 00:13:38,BRLBTC,2025-03-06,5297904682952420,7903820957755820,-4343598503435480
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,5485031142981400,421480583401641,-13570387279148200
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,50795736196953600,4644992527437800,-1933340984134130
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,5480227761298010,9974753647020350,-27189933268724000
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,5497878671883030,9495575208678710,-15668856486686900
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,5234862618008170,31759148624310000,-4165916161163410
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,5359846699145430,9566954123673020,4613537306191250
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,5403838482683470,6295284821822340,-30770150744170600
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,501074535737209,8986067729029680,22671117789024000
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,49789985980270496,9917777001054770,-4762955172014550
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,5274960450467550,874922492033063,4419945958649480
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,4987303859794320,337886695933935,-2874259997594420
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,50162852549580304,9750504847870730,-5205888085781340
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,4924078255310120,3608908179787320,-4733469823648410
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,5466127359853720,4164770507120160,-5304324756422680
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,51387953190501504,553451289400852,-6577702194169020
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,49731700142937904,8362311431355480,4453448934090810
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,54521132825591,5945033989194460,-3265341938881460
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,50079070824887200,6419637938345580,-6352914612778340
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,51271765656049904,9913415646560490,-4966123777484540
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,2025-03-06 02:05:27,BRLBTC,2025-03-06,5297904682952420,7903820957755820,-4343598503435480
540547.2037367796,505624.5054593992,80.4907212411851,512490.2521326936,514523.8961648836,529038.6258433064,521570.1672011419,2025-03-06 00:29:03,BRLBTC,2025-03-06,5485031142981400,421480583401641,-13570387279148200
540547.2037367796,505624.5054593992,80.4907212411851,512490.2521326936,514523.8961648836,529038.6258433064,521570.1672011419,2025-03-06 00:29:03,BRLBTC,2025-03-06,50795736196953600,4644992527437800,-1933340984134130
540547.2037367796,505624.5054593992,80.4907212411851,512490.2521326936,514523.8961648836,529038.6258433064,521570.1672011419,2025-03-06 00:29:03,BRLBTC,2025-03-06,5480227761298010,9974753647020350,-27189933268724000
540547.2037367796,505624.5054593992,80.4907212411851,512490.2521326936,514523.8961648836,529038.6258433064,521570.1672011419,2025-03-06 00:29:03,BRLBTC,2025-03-06,5497878671883030,9495575208678710,-15668856486686900
540547.2037367796,505624.5054593992,80.4907212411851,512490.2521326936,514523.8961648836,529038.6258433064,521570.1672011419,2025-03-06 00:29:03,BRLBTC,2025-03-06,5234862618008170,31759148624310000,-4165916161163410
