high,low,vol,last,buy,sell,open,date,pair
535693.59999999,509540.11556907,57.90924993,523149.20375564,523075.52644558,523149.20375565,513232.24275963,1741220018.0,BRLBTC
522196.9336593656,511929.973937314,47.2116348494555,518605.124606675,493045.2518830263,491465.3846855755,522881.1994443686,1741226727.0,BRLBTC
540547.2037367796,505624.5054593992,80.4907212411851,512490.2521326936,514523.8961648836,529038.6258433064,521570.1672011419,1741220943.0,BRLBTC
529644.7250271998,480045.622806616,78.4381955844535,515946.5253361823,515921.4808135601,514891.16921507125,498244.3980066849,1741227622.0,BRLBTC
510323.254967517,501909.70793046086,25.126339575484334,496959.58725469455,494796.1943235651,524405.0235319458,523047.8489279772,1741227913.0,BRLBTC
543780.139306535,482889.0861928074,38.438491892111216,493172.9594332641,529597.3097839949,508330.0662836772,513106.20930184587,1741224147.0,BRLBTC
,519961.8734921247,92.47258713615842,516862.2048917225,492935.0829548074,502789.13376824145,509031.50101323775,1741227944.0,BRLBTC
504755.31307888427,482251.6408972365,83.64849158583085,499411.79220586736,524214.6988210846,515284.1114009248,511143.7290856218,1741222730.0,BRLBTC
522804.83304429945,481600.4327048687,24.920081000366338,520670.9447210055,498131.57937021554,527777.4307519417,494219.3222960503,1741221992.0,BRLBTC
501409.3889599227,504230.8777196482,34.73856875324185,513311.0791198002,527388.2430647098,495454.8981271605,490402.1921870154,1741223102.0,BRLBTC
537127.8781980057,501874.6906054599,92.39999480244948,510594.86995149485,524879.1215258476,517121.12341837434,521521.5668536627,1741224961.0,BRLBTC
548304.5166987634,490917.8720232669,,517371.2368693765,524487.3529041632,528903.5119671631,490820.0873442337,1741225026.0,BRLBTC
525268.4037607535,495761.6208475508,54.439585600984806,504126.4311429536,507071.7901881447,526897.7269855794,524863.3029458607,1741223597.0,BRLBTC
533430.748971768,506577.3073534769,34.841687052896795,493450.8956018733,502035.7348310728,521498.0088366997,492483.5331598813,1741227594.0,BRLBTC
502782.7885478991,488187.645680989,46.27356850043281,529307.2096319788,510315.918994536,522821.74515727843,508977.998273043,1741220008.0,BRLBTC
523032.51132487983,487480.84334251424,47.97937608924153,518355.7968033467,499548.0815756868,498625.9521241026,527714.2160068773,1741222821.0,BRLBTC
526074.9864000388,,59.7276125178016,518411.0798416644,493316.70140168624,518468.40722559806,499747.8728785772,1741223387.0,BRLBTC
549396.5622736905,512961.86504468776,43.98468924741107,490591.99253005785,500803.9192804478,494558.891573068,515330.58631678415,1741228988.0,BRLBTC
537227.7124116907,498131.1242900562,81.327346814998,511354.2342575591,509361.8597365384,504316.96520142996,499768.4397375881,1741224942.0,BRLBTC
538842.5930171701,518751.1786744076,47.24411067883071,491897.3940787963,511344.0310681586,518716.122978713,513184.88964125176,1741227406.0,BRLBTC
512507.7641303001,516482.6414286929,54.9706824825025,517960.0065864335,503593.106641143,493430.1614288531,523807.1614478518,1741225957.0,BRLBTC
532843.9684069798,498347.7390405717,43.58668694356555,515313.66425903625,490878.5622494652,508893.0413103952,525795.8791158237,1741223110.0,
501746.37664046127,492962.3461011648,48.56746825153364,528739.955747721,528390.0735489287,497396.1681397386,527857.6997640597,1741229690.0,BRLBTC
510073.5060053703,494202.1433402002,17.163390040144115,492504.0731994967,507159.6823494442,527419.9123183594,493835.8533232544,1741225070.0,BRLBTC
546117.4972143975,499345.3937554002,93.02241724717922,510507.9644488997,515017.96105187584,522145.9069088854,500392.2041342297,1741229249.0,BRLBTC
528474.3047070618,490297.2635268628,65.58465699708711,495122.6368658744,499341.8358874475,521279.2865682574,502161.9689106927,1741228256.0,BRLBTC
501788.1328336542,497587.6722300405,26.419958771660635,525818.5597754992,499635.5086301041,521637.8901675302,497384.37591985735,,BRLBTC
531015.301302064,483961.5784149637,28.670606111291995,497842.64337682,495201.5386811743,528076.4474455741,495151.1861132842,1741223147.0,BRLBTC
540078.536287451,507681.41677350976,68.58196632979352,518640.3424681186,522896.3780779247,505525.4844631113,520004.2194076968,1741223906.0,BRLBTC
545673.2412738628,493112.4932811408,61.4546517923015,513472.9103584,497925.2678322418,520284.41262581124,523704.35390628886,1741222348.0,BRLBTC
534599.833787767,491395.38708995184,55.36027733144379,495823.8599665826,494549.0052716317,511049.60083912424,504548.2559334,1741220372.0,BRLBTC
517319.95414435526,512052.8193990432,5000.0,518706.895459782,525719.9229432566,493289.8571757623,495385.0453483157,1741223506.0,BRLBTC
